Emotion,Text
joy,"On a sailing boat at night, under a full moon, listening to Pink Floyd, drinking good wine, with good company, the boat being steered by autopilot, and a full eclipse of the moon."
sadness,Records must not be based on the measurement of subjective impressions such as the number of times parents felt depressed about their child 's behaviour . 
anger," Yes , and hurry up ! "
joy,Passing an exam I did not expect to pass.
neutral, It seems quite normal to me . It is pretty much what I want to do . 
neutral, What ? 
joy,When I heard that I had passed my final examination at school (with success).
neutral," Is that the large , white building ? "
anger, They weren ’ t supposed to arrest me . 
sadness,A close friend decided to stop with his study and to go back home.
anger,When my friend (girl) promised to help me go to the hospital and be examined by good experts and she deceived me.
neutral, Of course . Because the TV stations need to make money from commercials between the programs . 
anger,The sight of a man who ran amok (fighting) at a dance.
anger, Why didn't you just call ? I hate sending SMS messages . 
sadness,I felt afraid just before receiving the question paper of the part II exam.
neutral,"Hi , Fanny . "
neutral, No way ! 
joy,I came across a friend with whom I had lost touch for a long time.
sadness,When my mother entered surgery for a quadruple heart bypass. I felt intense fear at the time she was actually wheeled away.
anger,When a close friend failed to live up to the expectations I had of him - thereby causing pain to his spouse. I believe that my anger was probably a reaction of fear that I wouldn't be able to live up to my own expectations.
joy," It's interesting , I like being an editor . "
neutral, Sure . 
joy," Even those . It'll be very romantic , I think . You'll have loads of fun . "
anger, They arrested me for nothing . 
neutral, My paper is on the influence of television on children . 
anger,"When my father addressed me directly and maliciously, thus including me in the \family war\""."""
neutral," It ’ s a story about a policemen who is investigating a series of strange murders . I play the part of the detective . He has to catch the killer , but there ’ s very little evidence . It ’ s a psychological th "
neutral, I like baseball and basketball . 
neutral, sounds good ! Let's go ! 
neutral,"Yes , sir ? "
sadness, I didn't make the soccer team . 
joy," Life is like a box of chocolates , you never know what you're gonna get . "
joy,"When I got 21/30 points in an exam of statistics. The result was unexpected and it made me realize that statistics do not surpass my abilities, as I have sometimes thought."
joy,When I had my first boyfriend.
sadness,"My friend was pregnant, but lost her child during the second month. I went to see her at hospital - she was crying. I felt very sorry for her."
sadness,After a motor accident (I was the frong-seat-passenger) I spit blood.
anger,"One night I could not practise my violin as my family was watching T.V with the lights off, so I wanted to listen to some tapes.  It was dark so I asked my brother to bring me a torch, however he scolded me.  I was so angry that I slammed my violin on the floor."
sadness,A friend of mine who was driving a car ahead of me died in a car accident.
neutral, I know . 
joy,"When my uncle gave me my first year's results.  I opened the envelope and my eyes ran into two \B+\"" - in EC110 and M160, this meant that I had qualified for a major in economics."""
joy,"In 1980 when I was in the 12th standard, we had arranged a small picnic in Kandala.  One of my closest friends wrote a small and cute poem for me, which expressed the feeling of closeness we had for each other.  I was very thrilled and I can still remember it."
neutral, Is he ok ? 
anger,When I told off a computer teacher who did not want to teach me beacause of prejudice.
neutral, cool . 
joy, They obviously thought I was doing terribly badly at that time and were very pleased at how well they had rigged me out  until I put on the mac . 
sadness,"When my son was diagnosed as having CEREBRAL PALSY, at age 5. He would have to endure so much labelling, stigma and discrimination, even though his case was relatively mild."
anger, No way . I've given you too many chances already . 
neutral,I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ? 
neutral, Yes . 
neutral, Fine . 
neutral, I see . 
sadness," Sorry , mum . I won't do it again . "
sadness,"Meanwhile Crowe , who had been watching the carnage unfold from the other end with increasing horror , unfurled some strokes of class in an attempt to ease the situation . "
anger," Oh , shut up , will you ? It was all your fault . If you'd kept quite this would never have happened . "
sadness, Oooo . This sounds serious . 
sadness, I'm sorry to hear it . What's wrong with her ? 
sadness,"In Sweden, a friend and I lived in an appartment owned by a Finn.  One day, this man came back to the appartment heavily drunk (hashish and alcohol).  He was quite dizzy and he broke down, and I could not foretell his reactions.  However, nothing happened."
anger,"I was coming home in a taxi with a fellow worker of mine.  He was criticizing my earlier conduct towards him, which to my mind was unfounded.  When I reached home, I ran out of the taxi and slammed the door."
sadness," Sorry , sir , you have to pay in the check-out counter . It's there . "
joy,"My 21st birthday celebration, when I cut the cake and received the presents."
neutral," Oh , I see . "
anger,"A friend of mine came to visit and stayed with my roommate and me. My roommate and she became good friends. After she left, he didn't talk too highly of her."
neutral," Yes , I ’ m the manager here . What can I do for you , Madam ? "
neutral, Run ! They are thirsty for more ! 
joy,"The warden and his wife , being owners of a Siamese cat , were not overjoyed to see Emily but they reluctantly fed her a saucer of milk , saying that she could stay for one night . "
sadness, That ’ s a little troublesome . 
anger,When my son omits to carry out certain duties at home that he knows needs doing.
joy,"Delighted at having gained his complete attention , Lori squirmed in her seat . "
anger,During a fight with my best friend.
neutral, ok . 
sadness,When I came back from my holidays.
anger, I've created a monster ... you're a better bayer than me ! 
joy,` I am very happy with the way I am playing but I accept that he believes he should be England 's fly-half . 
sadness," Yes , I took my temperature last night . It was 102 degrees . But right now I feel my fevers is up to 103 degrees . "
anger,My feelings towards would-be in-laws for their participation in recent broken relationship.
joy,When I had passed MCE examinations.
neutral, Why ? 
joy,"I feel excited when I come up with something that I can have Jack to help me with , I 'm always ready to hear what he has . "
neutral, What ? 
anger,"My mother and her friends were speaking badly about my father when they were separated, and my brothers and sisters and myself were allowed to listen."
joy,A meeting and a conversation with a woman (somewhat elder than me) who considers me as her child (she also has one child of her own). Last two years I lived with her (no relationship).
sadness,"The house was on fire, and I was saved by the dog. I am afraid of the fire, verging on panic."
neutral,Hello ! 
joy,Professor Winston said : ` I 'm thrilled to see them all here . 
sadness,"My nephew's mother just left one day (my brother and she were not married). My nephew, Anthony, was shaken. I was sad for him because a similar situation happened to me."
anger,"During the Christmas holdidays I wanted to invite my brother, his girlfriend and their child for dinner. When I said to my brother's girlfriend that I would like them to come at my place for dinner, she refused and never mentioned it again as if I had never asked her."
sadness,"I could not meet my love, after having waited for a month, due to illness."
sadness,When my grandmother passed away.
sadness,"People think I've changed, just cause my appeal has grown. @Drake &gt;&gt;&gt;&gt;"
joy,"When I got home from a pleasant trip abroad, I got to know that I had been accepted at university."
joy,I was overwhelmed with joy when I received the acceptance letter to university.  This happened again when I passed all my first year courses.
joy,"Winning a race that I had been training for, for many weeks. (Running Race)."
anger, I wasn't done talking to you . 
sadness,"I had a good relationship with two friends. Once without reason, they clearly showed that they thought I was naive, dull and unable to take care for myself, while I expostulated that I could manage things."
sadness,When it was found that I had gone out of the school premises without permisssion and at the wrong time.
sadness,She shot him a horrified look . 
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy.
joy, You ’ re right . 
sadness,He was miserable at being left out . 
neutral, You said it . I always count on him when I need his help . 
anger, Even if I was seriously ill you couldn't spare a moment . 
sadness,A friend and I were going to have a study session together in which we quiz ourselves in biology material. Because I believed I didn't study enough. I feared I would fail.
sadness,I felt this feeling when one day my landlord's cat had crept under my bed and I couldn't cope with it during an hour and a half.
joy,The two observers exchanged amused glances and then wandered away under the trees . 
joy,"The day I got to know that I would get a shared dwelling with my boyfriend.  My parents place was getting a little crowded with my growing bother wanting a room to himself.  I first felt doubt, then joy, but also sadness.  The feeling of joy was the strongest."
sadness,"When I think of death - not my own but that of my parents, brothers and sisters."
neutral,Look out ! 
sadness,Hearing about a friend back home that had to have his stomach pumped because he had overdosed on pills.
sadness, I lost the table tennis game yesterday . 
joy,I was working late on one of these bad nights when an excited Dr Laurent rushed into my office . 
sadness,"When I got to know that the friend I am closest to got engaged, and she was going away.  I was overjoyed for her, but also felt frightened as I was very emotionally dependent on her.  I did not know what I would do without her."
sadness,"When my grandmother, who has been living with us for 14 years, had a stroke and was left paralysed on one side. She has been quite close to our family and to see her suffer in this way makes me feel really sad."
joy,"` Didn't seem too pleased about something . "" "
neutral," Yeah , I know . A friend in need is a friend indeed . I don't need fair-weather friends either . "
anger, Didn ’ t you tell him you have an appointment ? 
joy,A friend of mine often had difficulties with her parents. Once she had a child she had a better relationship with them.
joy,When they told me that I had been admitted to the faculty of medicine.
anger, No wonder he asked for my address first-he just wants to harass me ! 
joy,My admittance to the University.
joy,When I finished my C.S. Project I was overjoyed. I felt relieved because it was due the next day and I was tired of looking at it.
anger," No , we got no receipt , but we paid on the spot . "
neutral, How come ? 
joy,"When the bank let me borrow some money this winter, after my grant was spent."
anger,"In a sociology class I felt very angry towards some members of society for exploiting the Polynesian people, dawn raids by Police (Martin Luther King, Blacks in S.A.). But this was just a reflection of my own shortcomings."
neutral, What's the route ? 
anger,"I felt unfairly treated at an airport, being told to use a different counter (for domestic traffic only)."
anger,I recall thinking that I had to be home soon or Mother would be angry at me for missing supper . 
joy,Going to a concert.
sadness,My sister lost one of her twin sons (my first nephews) and then the older one died a week later.
anger,I learned that my girlfriend had been unjustly missed from work.
joy,I 'm delighted that you 've been able to come along at such short notice . 
joy," All right , sir . May I have your driver's license ? "
joy,I felt joy when my boyfriend proposed to me in marriage.
joy," Yes , you have many opportunities to grow in this company as long as you do well . "
sadness,My cat died from an illness.  It had been with us for 7 years.  It was a lovely cat.  It had been ill for one or two weeks and the veterinary surgeon had told us that it was dying.
sadness,I was riding with a friend in his car. At a speed of 120 km/h on the snow-covered motorway I would have liked to get out.
sadness,I was at home and we were sleeping when we heard some robbers breaking into our house.
sadness,"I stayed alone in the dark at night in the mountain, waiting for my uncle.  I remember that I took a big stone and it calmed me."
joy, Congratulations ! What's your normal handicap ? 
joy,Returning to school and rejoining my girlfriend after 3 months of separation from summer.
joy, OK . 
anger,I was extremely indignant . 
anger," You don ’ t love me , Roy . "
sadness,Following this there was considerable despondency amongst the committee as there seemed to be little hope for the future . 
sadness,Death of brother.
neutral, definitely . 
neutral," it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family . "
sadness,"I was sleeping when I heard the neighbours screaming, I peeped through the window and saw a thief  trying to enter my neighbour's house."
neutral, No ... 
anger, You are not in a position to question my vision or my statement ! 
joy, That ’ s great ! Do you have any plans ? 
joy,"In a day when at work, in school, and relationships came out as I wanted, and I was recognized in my work."
anger," No , I just check my weight , I'm getting fatter . "
neutral, OK . 
neutral, See you . 
joy,It feels good being close to another person.
joy,I 'm delighted to learn that his advice has been sought in the present enterprise . 
sadness,I was alone in my room at the boarding house when at 12 o'clock someone knocked violently on the door.
joy," Yes , next March . "
neutral," well , we'll be careful . Thanks for letting me know . "
joy," Got it . Thank you , Shirley . "
neutral, Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods . 
neutral, Oh.history . 
sadness,Tug had just one glimpse of the girl 's horror as her mouth and her eyes opened wide . 
joy,"Looking anything but delighted at the prospect , he stood up . "
anger,When my mother interfered in my life.
neutral, What for ? 
anger,"I faced this feeling when I realized I wasn't admitted to the institute in the first classifying, in spite of the high mark I had got at the entrance examination. "
sadness,And know I pop bottles because I bottle my emotions.. At least I put it all in the open.. 
anger,"When my father took away my cherished diaries to burn them (I was also very sad) \Oh, how I hated him\""."""
anger,When I was locked out of my room by my room-mate's friend.
joy,"` Right now I 'm feeling very excited . "" "
joy, Sure . So what about you ? Do you have any hobbies ? 
joy,I was talking to a friend and he said something which was very funny.
neutral, Are you sure there are no more open classes ? 
neutral, Honey ... 
neutral, Do you have a subscription ? 
neutral, Thanks . Lovely day . Pity I ’ m on duty . 
anger,"When I found out my cousin had been killed. I was angry at the world, and her murderer who was her ex-boyfriend. It was the worst and most hateful day of my life."
joy,Found out that me and my best friend are both chosen for the English lectures.
joy,When my sister was born.
anger,I know I ’ m going to bite the dust going down this hill . I almost got killed on the chair lift ! This is going to be so embarrassing . 
neutral," Bye , Ann ! "
joy,"Went to a movie with a date, walked on the beach (in Alameda) spent some time afterwards in her apt."
anger,"At my father's treatment of my mother, at his disregard for her, and not being committed to her."
neutral," if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too ! "
neutral, Okay . 
neutral, OK ! 
neutral,You ready ? 
neutral, Next week . 
neutral, Yes ? 
sadness,To only a few had he been the devil who gloated over their private grief . 
neutral,Where is John ? I can't find him anywhere . 
joy, I think I will . Thanks for the info . 
neutral,How is he ? 
neutral," Actually , the business trip itself was very successful . We arrived on time , we had nice conversations and we settled some important issues for the next year . "
sadness,"i mean for you to hate it,not me.i love it,but there are a few people in for a rude awakening. is it in you?lmao!!!!!"
anger, She ’ s your sister.What she asked was only duck soup for you.Why can ’ t you be good to her ? 
anger,Somebody took my wristwatch and promised to have it mended and later was telling me that he couldn't give it back to me because I was rude at a certain time.
anger,"Who can honestly say that they have never been consumed by that intense annoyance , never felt that burning but wrenching tension and anger at life 's petty frustrations . "
sadness,"I was on my way back from the Inter Rail, on board the ferry from Stockholm when my father called me at 7 o'clock to tell me that my uncle had died and that I would be seeing him off on his final journey within four days."
sadness,When I had not understood anything after a lecture.
sadness,"I was alone at home, a man forced the front door which was locked, forced and tried to open a window."
neutral,What do you need ? 
anger,"Jack was mad and even madder with the American scandal magazine the National Enquirer , too , although that was nothing new . "
anger,"When my friends left without waiting for me, after we had arranged to go out together."
anger,"In the house where I live there is a new flatmate. His friends unfortunately are the dirt of society, intelligent, fashionable, rich and bored. At a party recently they were doing things I didn't like done in my house. I felt angry at them."
anger,When I see how people around me pass by certain unjustice because of indifference or cowardice.
neutral, My phone ? 
neutral," It ’ s almost impossible to get the right balance . If you are too strict , kids might ignore you . If you are too lenient , they might go wild . "
neutral, You were ? 
joy,"When I received my report card in C.O.U.  I was afraid of obtaining low marks, but they were much higher than expected.  "
anger,An unjust refree decision at a sports event when I was the team leader.
sadness,"When my aunt, whom I had loved very much, died. When I heard about her death, I was not as touched as at the funeral. I really became conscious of her death at that moment."
joy,"Hearing that I had been successful in getting a position whereby my financial, physical, spiritual and emotional needs will be well catered for. This position fulfils a lot of my aims for the last five years of my life."
sadness,Little hesitant to apply deodorant ever again 
neutral, Thanks . 
neutral," I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . "
anger,Found out that someone I knew well has been misunderstanding me for 2 years.
sadness,"This sounds really predictable and usual but it was absolutely heart-rending at the time. My first lover (I was 15) just rang up one day and announced that he had found another woman. I never saw him again and it hurt because I was positive that it was \TRUE LOVE\"" !!"""
sadness,  #Regrets - leave it all behind and enjoy life InshAllah!
anger,"Rachel could see the reasoning behind that , but nevertheless felt angry towards Damian Flint -- not because he had so obviously done the right thing , but because he was so clearly in complete control of a situation that had always been beyond Rachel . "
joy, Hi Martha . Everything is perfect . 
neutral," Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ? "
anger,Heated discussion with spouse concerning new house.
joy,"Unofficially I was informed about my results of the final examination of the secondary school. A teacher wrote them up for me. When I went outside, I started crying with joy."
neutral, 812 . 
sadness,Many supporters of Dr McNab exchanged glances of dismay at the words they had just heard . 
joy,I'd just got the top mark in an exam.
joy," Yes , I think you ’ re right . I ’ m thinking about having a child , but not just yet . "
joy," That's a good idea . Let's see if we can get more people in this plan . There isn't much business these days anyway , so I think many people will be interested . "
anger,My roommate being unconsiderate.
anger,When present boyfriend's mother approached my parents and self - to leave her son alone - as she did not want me for a future daughter-in-law.
joy,Lexie 's parents are pleased that their efforts may prevent other children dying from the side effects of steroid treatment . 
anger,"I was at the corner shop, which I patronise regularly I had only a $ 50 note and I purchased about $ 3 worth of goods that I really needed - the keeper made sarcastic remarks to others about people using him to cash notes."
joy,I was very happy when I discovered that I had passed my first year examination and was among the thirty students who would major in economics.
anger," Jacob , you have the luxury of having a haircut that rarely needs styling . I don ’ t . I have to set aside about an hour and a half to get ready in the mornings . Every day , I wake up and head straight for the shower . Every second day , I wash my hair . If it ’ s a hair-washing day , I frequently need to wash my hair twice because it gets really oily . Then I usually put in a conditioner and have to rinse that out too . Because my hair is so long , I seldom manage to take a shower in under twenty minutes . Afterwards , I often put on a pot of coffee and get dressed while I wait for it to brew . I take a long time to get dressed in the morning . Every now and then I remember to choose my outfit the night before , but usually I do it in the morning . In all , getting dressed takes about half an hour , at which time my hair is now semi-dry so then I have to style my hair . From time to time I ’ ll put my hair up , but oftentimes I bloody it straight . And then , because of the texture of my hair , I regularly have to flat-iron it to keep it from frizzing . That ’ s another twenty minutes or so . After that , I have my daily makeup routine . "
neutral," My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . "
neutral, Of course I know that . But don't you notice that the house price is skyrocketing ? 
joy,How about going to hear a country-and-western singer tonight ? 
joy,When the Cambridge results came out and I obtained a first division.  I had been thinking that I had not done very well.
neutral, Why not ? 
joy, Of course . But I'm afraid I'm not much of a dancer ... 
sadness,My father told me in the letter that my mother is ill.
neutral, 3 weeks 
joy,"No speeches have yet been greeted with ecstatic cries of ` author , author "" -- probably because Denis Healey is not there -- but the clash of rival socialist philosophies is no less cacaphonous . "
joy,Finally being asked by someone to a banquet.
joy,Birth of children.
sadness,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
sadness,"@notMarcStaal I'd offer to do a strip tease, but my wife is currently hormonal and might kill me. "
joy, What is the weather like in Washington at this time of this year ? 
anger,I was peeved to see Robert Kilroy-Silk credited with inventing the egg trick in a recent colour supp. profile . 
neutral, Didn't I ? 
sadness,I was brave enough ta b born in da world none
sadness,"I was alone in my parents' house, having made plans to spend the afternoon with a lover (plans which the lover cancelled), watching a movie and considering my life and circumstances - pressures of examinations in particular."
neutral, The works ? 
sadness, 9. My biggest fear is needles. I can't stand getting a shot.  
anger,"--- The descendants of Sir Isaac Newton are miffed that former prime minister Maragaret Thatcher has included the 17th century discoverer of gravity on her personal coat of arms , to represent learning ."
neutral, I would like to return this book . 
anger," Yikes ! you are joking , right ? I can't believe it . No wonder he is so stressed and bossy lately . I thought he was just being ostentatious by giving orders to people and all the different departments . What big shoes to fill ! "
sadness,We had to take our cat to the vet for mercy killing (an injection).
sadness,"Hello , Kevin . I hate to do this , but I have to cancel our appointment . "
anger,My annoyance at missing the fish turns to relief when I realise I am not snagged in the roots . 
joy,Getting University Entrance accredited and arriving home from boarding school on accrediting leave.
anger,I wish I knew who had moved our flower pots . 
sadness,Years ago I fell in love for the first time. as natural for every school-girl I was day-dreaming. Later (after 3 years) we left each other. No one was to blame but I felt deep sadness. Even now I remember about it quite often.
anger,"But , despite his annoyance at being seeded No.2 to Baddeley even though he is the present No.1 , he declined to labour the point afterwards . "
neutral, Yes ? 
neutral, Not only that ! 
joy,"Inter-national sports events won by my favourite national team or player brings me joy, e.g when India won the World cup cricket match."
joy,"During the exam period I studied in the library alone.  A close   friend of mine, who is also a classmate, told me that my application for a Japanese inter-cultural exchange programme had been accepted.  I was not very sure as I did not know that the list had been declared.  I ran to the board and saw that I was really included in the list.  I was so excited that I smiled all day long.  When I met my classmates and friends I told them the good news.  I was so happy that I could not concentrate on my studies. "
sadness,There was a conflict of interest between me and a close friend of mine.  He only thought about his own interest and not about our friendship.  This behaviour hurt his friends.  Another incident is when a friend isolated himself without giving any reasons.
joy," Yes , I'll be waiting for you in my home by 10:00 . "
anger, how dare you ! 
neutral, The weather report says it's going to rain for a whole week . 
sadness,When my grandmother passed away.
neutral, Hope so . 
neutral, Is he ok ? 
anger,"While having a discussion with my mother, I realized that she does not for a moment doubt the justification of her making the decisions concerning my life."
anger, You said you were only going to window shop ! 
sadness,"When I left New York, and all my family and my friends behind me."
neutral, Almost . 
joy,"When I received the letter informing that I had been accepted to be a Chinese university student, I was excited as I had longed for it."
joy,I did it! I conquered nerves and . THANK YOU SO MUCH @solzahran for learning the song #AsISang. lol appreciate it :)
anger,"I lent a text-book to a person I did not know very well, they lost the text-book and gave me no compensation."
joy,Passing a very difficult examination which I didn't expect - MCE.
neutral, Just two . 
sadness,"` All her colleagues are devastated , she was a popular wee girl . "" "
